#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
 115.3       159.2       2.04E+03     8.48E+01
 172.9       159.2       1.92E+03     7.98E+01
 230.5       159.2       2.55E+03     1.06E+02
 288.2       159.2       3.66E+03     1.52E+02
 345.8       159.2       3.15E+03     1.31E+02
 403.4       159.2       2.81E+03     1.17E+02
 461.1       159.2       2.75E+03     1.14E+02
 518.7       159.2       3.40E+03     1.42E+02
 576.4       159.2       3.47E+03     1.44E+02
 634.0       159.2       3.28E+03     1.36E+02
 691.6       159.2       3.18E+03     1.32E+02
 749.3       159.2       3.74E+03     1.56E+02
 806.9       159.2       4.10E+03     1.71E+02
 864.5       159.2       4.02E+03     1.67E+02
 922.2       159.2       3.93E+03     1.64E+02
 979.8       159.2       4.15E+03     1.73E+02
1037.4       159.2       4.66E+03     1.94E+02
1095.1       159.2       5.15E+03     2.14E+02
1152.7       159.2       5.27E+03     2.19E+02
1210.3       159.2       5.23E+03     2.17E+02
1268.0       159.2       5.52E+03     2.30E+02
1325.6       159.2       6.17E+03     2.57E+02
1383.3       159.2       6.70E+03     2.79E+02
1440.9       159.2       6.85E+03     2.85E+02
1498.5       159.2       6.94E+03     2.89E+02
1556.2       159.2       7.47E+03     3.11E+02
1613.8       159.2       8.26E+03     3.44E+02
1671.4       159.2       8.91E+03     3.71E+02
1729.1       159.2       9.11E+03     3.79E+02
1786.7       159.2       9.41E+03     3.91E+02
1844.3       159.2       1.02E+04     4.23E+02
1902.0       159.2       1.13E+04     4.69E+02
1959.6       159.2       1.20E+04     4.99E+02
2017.2       159.2       1.23E+04     5.12E+02
2074.9       159.2       1.29E+04     5.36E+02
2132.5       159.2       1.41E+04     5.85E+02
2190.2       159.2       1.54E+04     6.43E+02
2247.8       159.2       1.63E+04     6.78E+02
2305.4       159.2       1.68E+04     6.99E+02
2363.1       159.2       1.78E+04     7.40E+02
2420.7       159.2       1.95E+04     8.10E+02
2478.3       159.2       2.12E+04     8.83E+02
2536.0       159.2       2.22E+04     9.25E+02
2593.6       159.2       2.31E+04     9.63E+02
2651.2       159.2       2.47E+04     1.03E+03
2708.9       159.2       2.70E+04     1.12E+03
2766.5       159.2       2.92E+04     1.21E+03
2824.1       159.2       3.06E+04     1.27E+03
2881.8       159.2       3.19E+04     1.33E+03
2939.4       159.2       3.43E+04     1.43E+03
2997.1       159.2       3.75E+04     1.56E+03
3054.7       159.2       4.02E+04     1.67E+03
3112.3       159.2       4.20E+04     1.75E+03
3170.0       159.2       4.41E+04     1.83E+03
3227.6       159.2       4.77E+04     1.98E+03
3285.2       159.2       5.20E+04     2.16E+03
3342.9       159.2       5.53E+04     2.30E+03
3400.5       159.2       5.77E+04     2.40E+03
3458.1       159.2       6.10E+04     2.54E+03
3515.8       159.2       6.62E+04     2.76E+03
3573.4       159.2       7.17E+04     2.98E+03
3631.0       159.2       7.61E+04     3.16E+03
3688.7       159.2       7.95E+04     3.31E+03
3746.3       159.2       8.46E+04     3.52E+03
3803.9       159.2       9.16E+04     3.81E+03
3861.6       159.2       9.91E+04     4.12E+03
3919.2       159.2       1.04E+05     4.35E+03
3976.9       159.2       1.09E+05     4.55E+03
4034.5       159.2       1.17E+05     4.86E+03
4092.1       159.2       1.27E+05     5.28E+03
4149.8       159.2       1.36E+05     5.68E+03
4207.4       159.2       1.43E+05     5.97E+03
4265.0       159.2       1.51E+05     6.27E+03
4322.7       159.2       1.62E+05     6.73E+03
4380.3       159.2       1.75E+05     7.30E+03
4437.9       159.2       1.87E+05     7.80E+03
4495.6       159.2       1.97E+05     8.18E+03
4553.2       159.2       2.08E+05     8.64E+03
4610.8       159.2       2.23E+05     9.30E+03
4668.5       159.2       2.42E+05     1.01E+04
4726.1       159.2       2.57E+05     1.07E+04
4783.8       159.2       2.70E+05     1.12E+04
4841.4       159.2       2.86E+05     1.19E+04
4899.0       159.2       3.08E+05     1.28E+04
4956.7       159.2       3.32E+05     1.38E+04
5014.3       159.2       3.52E+05     1.46E+04
5071.9       159.2       3.69E+05     1.54E+04
5129.6       159.2       3.92E+05     1.63E+04
5187.2       159.2       4.23E+05     1.76E+04
5244.8       159.2       4.54E+05     1.89E+04
5302.5       159.2       4.79E+05     1.99E+04
5360.1       159.2       5.04E+05     2.10E+04
5417.7       159.2       5.37E+05     2.24E+04
5475.4       159.2       5.80E+05     2.41E+04
5533.0       159.2       6.19E+05     2.58E+04
5590.7       159.2       6.51E+05     2.71E+04
5648.3       159.2       6.86E+05     2.85E+04
5705.9       159.2       7.34E+05     3.05E+04
5763.6       159.2       7.89E+05     3.28E+04
5821.2       159.2       8.40E+05     3.49E+04
5878.8       159.2       8.81E+05     3.67E+04
5936.5       159.2       9.31E+05     3.87E+04
5994.1       159.2       9.95E+05     4.14E+04
