#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
5033.5       159.2       2.16E+06     8.97E+04
5043.1       159.2       2.17E+06     9.04E+04
5052.7       159.2       2.19E+06     9.11E+04
5062.3       159.2       2.21E+06     9.19E+04
5071.9       159.2       2.23E+06     9.26E+04
5081.5       159.2       2.25E+06     9.34E+04
5091.1       159.2       2.27E+06     9.43E+04
5100.8       159.2       2.29E+06     9.52E+04
5110.4       159.2       2.31E+06     9.62E+04
5120.0       159.2       2.34E+06     9.73E+04
5129.6       159.2       2.37E+06     9.84E+04
5139.2       159.2       2.40E+06     9.96E+04
5148.8       159.2       2.43E+06     1.01E+05
5158.4       159.2       2.46E+06     1.02E+05
5168.0       159.2       2.49E+06     1.04E+05
5177.6       159.2       2.52E+06     1.05E+05
5187.2       159.2       2.55E+06     1.06E+05
5196.8       159.2       2.59E+06     1.08E+05
5206.4       159.2       2.62E+06     1.09E+05
5216.0       159.2       2.65E+06     1.10E+05
5225.6       159.2       2.68E+06     1.12E+05
5235.2       159.2       2.71E+06     1.13E+05
5244.8       159.2       2.74E+06     1.14E+05
5254.4       159.2       2.77E+06     1.15E+05
5264.1       159.2       2.80E+06     1.16E+05
5273.7       159.2       2.82E+06     1.17E+05
5283.3       159.2       2.85E+06     1.18E+05
5292.9       159.2       2.87E+06     1.19E+05
5302.5       159.2       2.89E+06     1.20E+05
5312.1       159.2       2.92E+06     1.21E+05
5321.7       159.2       2.94E+06     1.22E+05
5331.3       159.2       2.96E+06     1.23E+05
5340.9       159.2       2.99E+06     1.24E+05
5350.5       159.2       3.01E+06     1.25E+05
5360.1       159.2       3.04E+06     1.26E+05
5369.7       159.2       3.07E+06     1.28E+05
5379.3       159.2       3.10E+06     1.29E+05
5388.9       159.2       3.13E+06     1.30E+05
5398.5       159.2       3.17E+06     1.32E+05
5408.1       159.2       3.20E+06     1.33E+05
5417.7       159.2       3.24E+06     1.35E+05
5427.4       159.2       3.28E+06     1.37E+05
5437.0       159.2       3.32E+06     1.38E+05
5446.6       159.2       3.37E+06     1.40E+05
5456.2       159.2       3.41E+06     1.42E+05
5465.8       159.2       3.45E+06     1.44E+05
5475.4       159.2       3.50E+06     1.45E+05
5485.0       159.2       3.53E+06     1.47E+05
5494.6       159.2       3.58E+06     1.49E+05
5504.2       159.2       3.62E+06     1.51E+05
5513.8       159.2       3.66E+06     1.52E+05
5523.4       159.2       3.70E+06     1.54E+05
5533.0       159.2       3.73E+06     1.55E+05
5542.6       159.2       3.77E+06     1.57E+05
5552.2       159.2       3.80E+06     1.58E+05
5561.8       159.2       3.84E+06     1.60E+05
5571.4       159.2       3.87E+06     1.61E+05
5581.0       159.2       3.90E+06     1.62E+05
5590.7       159.2       3.93E+06     1.63E+05
5600.3       159.2       3.96E+06     1.65E+05
5609.9       159.2       3.99E+06     1.66E+05
5619.5       159.2       4.03E+06     1.67E+05
5629.1       159.2       4.06E+06     1.69E+05
5638.7       159.2       4.10E+06     1.70E+05
5648.3       159.2       4.14E+06     1.72E+05
5657.9       159.2       4.18E+06     1.74E+05
5667.5       159.2       4.22E+06     1.76E+05
5677.1       159.2       4.27E+06     1.78E+05
5686.7       159.2       4.32E+06     1.80E+05
5696.3       159.2       4.37E+06     1.82E+05
5705.9       159.2       4.43E+06     1.84E+05
5715.5       159.2       4.48E+06     1.86E+05
5725.1       159.2       4.54E+06     1.89E+05
5734.7       159.2       4.59E+06     1.91E+05
5744.3       159.2       4.64E+06     1.93E+05
5754.0       159.2       4.70E+06     1.96E+05
5763.6       159.2       4.76E+06     1.98E+05
5773.2       159.2       4.81E+06     2.00E+05
5782.8       159.2       4.87E+06     2.03E+05
5792.4       159.2       4.92E+06     2.05E+05
5802.0       159.2       4.97E+06     2.07E+05
5811.6       159.2       5.02E+06     2.09E+05
5821.2       159.2       5.07E+06     2.11E+05
5830.8       159.2       5.11E+06     2.13E+05
5840.4       159.2       5.15E+06     2.14E+05
5850.0       159.2       5.19E+06     2.16E+05
5859.6       159.2       5.24E+06     2.18E+05
5869.2       159.2       5.28E+06     2.19E+05
5878.8       159.2       5.32E+06     2.21E+05
5888.4       159.2       5.36E+06     2.23E+05
5898.0       159.2       5.41E+06     2.25E+05
5907.6       159.2       5.45E+06     2.27E+05
5917.3       159.2       5.50E+06     2.29E+05
5926.9       159.2       5.56E+06     2.31E+05
5936.5       159.2       5.61E+06     2.34E+05
5946.1       159.2       5.67E+06     2.36E+05
5955.7       159.2       5.74E+06     2.39E+05
5965.3       159.2       5.80E+06     2.41E+05
5974.9       159.2       5.86E+06     2.44E+05
5984.5       159.2       5.93E+06     2.47E+05
5994.1       159.2       6.00E+06     2.50E+05
