#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
  76.8       159.2       3.87E+03     1.61E+02
 115.3       159.2       3.07E+03     1.28E+02
 153.7       159.2       2.92E+03     1.21E+02
 192.1       159.2       2.98E+03     1.24E+02
 230.5       159.2       3.85E+03     1.60E+02
 269.0       159.2       5.24E+03     2.18E+02
 307.4       159.2       5.41E+03     2.25E+02
 345.8       159.2       4.75E+03     1.98E+02
 384.2       159.2       4.41E+03     1.83E+02
 422.7       159.2       4.08E+03     1.70E+02
 461.1       159.2       4.14E+03     1.72E+02
 499.5       159.2       4.82E+03     2.01E+02
 537.9       159.2       5.30E+03     2.21E+02
 576.4       159.2       5.23E+03     2.17E+02
 614.8       159.2       5.06E+03     2.10E+02
 653.2       159.2       4.85E+03     2.02E+02
 691.6       159.2       4.79E+03     1.99E+02
 730.1       159.2       5.26E+03     2.19E+02
 768.5       159.2       5.94E+03     2.47E+02
 806.9       159.2       6.18E+03     2.57E+02
 845.3       159.2       6.06E+03     2.52E+02
 883.7       159.2       5.97E+03     2.48E+02
 922.2       159.2       5.92E+03     2.46E+02
 960.6       159.2       6.10E+03     2.54E+02
 999.0       159.2       6.47E+03     2.69E+02
1037.4       159.2       7.03E+03     2.92E+02
1075.9       159.2       7.58E+03     3.15E+02
1114.3       159.2       7.90E+03     3.29E+02
1152.7       159.2       7.95E+03     3.31E+02
1191.1       159.2       7.87E+03     3.28E+02
1229.6       159.2       7.95E+03     3.31E+02
1268.0       159.2       8.31E+03     3.46E+02
1306.4       159.2       8.95E+03     3.72E+02
1344.8       159.2       9.56E+03     3.98E+02
1383.3       159.2       1.01E+04     4.20E+02
1421.7       159.2       1.03E+04     4.29E+02
1460.1       159.2       1.03E+04     4.30E+02
1498.5       159.2       1.05E+04     4.35E+02
1536.9       159.2       1.09E+04     4.54E+02
1575.4       159.2       1.17E+04     4.85E+02
1613.8       159.2       1.24E+04     5.18E+02
1652.2       159.2       1.32E+04     5.49E+02
1690.6       159.2       1.36E+04     5.65E+02
1729.1       159.2       1.37E+04     5.71E+02
1767.5       159.2       1.40E+04     5.80E+02
1805.9       159.2       1.45E+04     6.03E+02
1844.3       159.2       1.53E+04     6.38E+02
1882.8       159.2       1.64E+04     6.84E+02
1921.2       159.2       1.75E+04     7.26E+02
1959.6       159.2       1.81E+04     7.53E+02
1998.0       159.2       1.84E+04     7.66E+02
2036.5       159.2       1.87E+04     7.80E+02
2074.9       159.2       1.94E+04     8.09E+02
2113.3       159.2       2.05E+04     8.53E+02
2151.7       159.2       2.19E+04     9.11E+02
2190.2       159.2       2.33E+04     9.69E+02
2228.6       159.2       2.42E+04     1.01E+03
2267.0       159.2       2.48E+04     1.03E+03
2305.4       159.2       2.53E+04     1.05E+03
2343.8       159.2       2.62E+04     1.09E+03
2382.3       159.2       2.76E+04     1.15E+03
2420.7       159.2       2.94E+04     1.22E+03
2459.1       159.2       3.12E+04     1.30E+03
2497.5       159.2       3.26E+04     1.36E+03
2536.0       159.2       3.35E+04     1.39E+03
2574.4       159.2       3.44E+04     1.43E+03
2612.8       159.2       3.55E+04     1.48E+03
2651.2       159.2       3.72E+04     1.55E+03
2689.7       159.2       3.95E+04     1.64E+03
2728.1       159.2       4.20E+04     1.75E+03
2766.5       159.2       4.40E+04     1.83E+03
2804.9       159.2       4.56E+04     1.89E+03
2843.4       159.2       4.67E+04     1.94E+03
2881.8       159.2       4.81E+04     2.00E+03
2920.2       159.2       5.02E+04     2.09E+03
2958.6       159.2       5.32E+04     2.21E+03
2997.1       159.2       5.65E+04     2.35E+03
3035.5       159.2       5.94E+04     2.47E+03
3073.9       159.2       6.16E+04     2.56E+03
3112.3       159.2       6.33E+04     2.63E+03
3150.7       159.2       6.52E+04     2.71E+03
3189.2       159.2       6.80E+04     2.83E+03
3227.6       159.2       7.18E+04     2.99E+03
3266.0       159.2       7.62E+04     3.17E+03
3304.4       159.2       8.01E+04     3.33E+03
3342.9       159.2       8.34E+04     3.47E+03
3381.3       159.2       8.58E+04     3.57E+03
3419.7       159.2       8.84E+04     3.68E+03
