#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
 230.5       159.2       1.19E+03     4.96E+01
 345.8       159.2       1.47E+03     6.13E+01
 461.1       159.2       1.28E+03     5.34E+01
 576.4       159.2       1.62E+03     6.74E+01
 691.6       159.2       1.48E+03     6.17E+01
 806.9       159.2       1.92E+03     7.98E+01
 922.2       159.2       1.84E+03     7.64E+01
1037.4       159.2       2.18E+03     9.07E+01
1152.7       159.2       2.47E+03     1.03E+02
1268.0       159.2       2.58E+03     1.07E+02
1383.3       159.2       3.13E+03     1.30E+02
1498.5       159.2       3.24E+03     1.35E+02
1613.8       159.2       3.86E+03     1.61E+02
1729.1       159.2       4.26E+03     1.77E+02
1844.3       159.2       4.76E+03     1.98E+02
1959.6       159.2       5.61E+03     2.33E+02
2074.9       159.2       6.03E+03     2.51E+02
2190.2       159.2       7.22E+03     3.00E+02
2305.4       159.2       7.85E+03     3.27E+02
2420.7       159.2       9.11E+03     3.79E+02
2536.0       159.2       1.04E+04     4.32E+02
2651.2       159.2       1.15E+04     4.80E+02
2766.5       159.2       1.36E+04     5.67E+02
2881.8       159.2       1.49E+04     6.20E+02
2997.1       159.2       1.75E+04     7.29E+02
3112.3       159.2       1.96E+04     8.17E+02
3227.6       159.2       2.23E+04     9.27E+02
3342.9       159.2       2.59E+04     1.08E+03
3458.1       159.2       2.85E+04     1.19E+03
3573.4       159.2       3.35E+04     1.39E+03
3688.7       159.2       3.71E+04     1.55E+03
3803.9       159.2       4.28E+04     1.78E+03
3919.2       159.2       4.88E+04     2.03E+03
4034.5       159.2       5.46E+04     2.27E+03
4149.8       159.2       6.38E+04     2.65E+03
4265.0       159.2       7.05E+04     2.93E+03
4380.3       159.2       8.20E+04     3.41E+03
4495.6       159.2       9.19E+04     3.82E+03
4610.8       159.2       1.04E+05     4.34E+03
4726.1       159.2       1.20E+05     4.99E+03
4841.4       159.2       1.34E+05     5.55E+03
4956.7       159.2       1.55E+05     6.46E+03
5071.9       159.2       1.72E+05     7.18E+03
5187.2       159.2       1.98E+05     8.23E+03
5302.5       159.2       2.24E+05     9.32E+03
5417.7       159.2       2.51E+05     1.04E+04
5533.0       159.2       2.89E+05     1.20E+04
5648.3       159.2       3.20E+05     1.33E+04
5763.6       159.2       3.69E+05     1.53E+04
5878.8       159.2       4.12E+05     1.71E+04
5994.1       159.2       4.65E+05     1.93E+04
