#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
  38.4       159.2       1.35E+04     5.60E+02
  57.6       159.2       9.71E+03     4.04E+02
  76.8       159.2       7.75E+03     3.23E+02
  96.1       159.2       6.69E+03     2.78E+02
 115.3       159.2       6.15E+03     2.56E+02
 134.5       159.2       6.01E+03     2.50E+02
 153.7       159.2       5.84E+03     2.43E+02
 172.9       159.2       5.79E+03     2.41E+02
 192.1       159.2       5.96E+03     2.48E+02
 211.3       159.2       6.56E+03     2.73E+02
 230.5       159.2       7.70E+03     3.20E+02
 249.8       159.2       9.22E+03     3.84E+02
 269.0       159.2       1.05E+04     4.36E+02
 288.2       159.2       1.10E+04     4.59E+02
 307.4       159.2       1.08E+04     4.51E+02
 326.6       159.2       1.02E+04     4.24E+02
 345.8       159.2       9.52E+03     3.96E+02
 365.0       159.2       9.00E+03     3.74E+02
 384.2       159.2       8.83E+03     3.67E+02
 403.4       159.2       8.46E+03     3.52E+02
 422.7       159.2       8.16E+03     3.39E+02
 441.9       159.2       8.05E+03     3.35E+02
 461.1       159.2       8.29E+03     3.45E+02
 480.3       159.2       8.90E+03     3.70E+02
 499.5       159.2       9.65E+03     4.02E+02
 518.7       159.2       1.03E+04     4.27E+02
 537.9       159.2       1.06E+04     4.42E+02
 557.1       159.2       1.07E+04     4.43E+02
 576.4       159.2       1.05E+04     4.35E+02
 595.6       159.2       1.02E+04     4.24E+02
 614.8       159.2       1.01E+04     4.21E+02
 634.0       159.2       9.89E+03     4.12E+02
 653.2       159.2       9.70E+03     4.03E+02
 672.4       159.2       9.56E+03     3.98E+02
 691.6       159.2       9.58E+03     3.99E+02
 710.8       159.2       9.91E+03     4.12E+02
 730.1       159.2       1.05E+04     4.38E+02
 749.3       159.2       1.13E+04     4.69E+02
 768.5       159.2       1.19E+04     4.95E+02
 787.7       159.2       1.23E+04     5.10E+02
 806.9       159.2       1.24E+04     5.15E+02
 826.1       159.2       1.23E+04     5.12E+02
 845.3       159.2       1.21E+04     5.04E+02
 864.5       159.2       1.21E+04     5.04E+02
 883.7       159.2       1.19E+04     4.97E+02
 903.0       159.2       1.18E+04     4.93E+02
 922.2       159.2       1.19E+04     4.93E+02
 941.4       159.2       1.20E+04     4.98E+02
 960.6       159.2       1.22E+04     5.08E+02
 979.8       159.2       1.25E+04     5.21E+02
 999.0       159.2       1.30E+04     5.39E+02
1018.2       159.2       1.35E+04     5.61E+02
1037.4       159.2       1.41E+04     5.85E+02
1056.7       159.2       1.46E+04     6.09E+02
1075.9       159.2       1.52E+04     6.31E+02
1095.1       159.2       1.55E+04     6.47E+02
1114.3       159.2       1.58E+04     6.58E+02
1133.5       159.2       1.59E+04     6.62E+02
1152.7       159.2       1.59E+04     6.62E+02
1171.9       159.2       1.58E+04     6.59E+02
1191.1       159.2       1.58E+04     6.56E+02
1210.3       159.2       1.58E+04     6.56E+02
1229.6       159.2       1.59E+04     6.62E+02
1248.8       159.2       1.62E+04     6.74E+02
1268.0       159.2       1.66E+04     6.92E+02
1287.2       159.2       1.72E+04     7.17E+02
1306.4       159.2       1.79E+04     7.45E+02
1325.6       159.2       1.86E+04     7.75E+02
1344.8       159.2       1.91E+04     7.96E+02
1364.0       159.2       1.98E+04     8.22E+02
1383.3       159.2       2.02E+04     8.41E+02
1402.5       159.2       2.05E+04     8.53E+02
1421.7       159.2       2.06E+04     8.58E+02
1440.9       159.2       2.07E+04     8.59E+02
1460.1       159.2       2.07E+04     8.60E+02
1479.3       159.2       2.07E+04     8.63E+02
1498.5       159.2       2.09E+04     8.71E+02
1517.7       159.2       2.13E+04     8.86E+02
1536.9       159.2       2.18E+04     9.08E+02
1556.2       159.2       2.25E+04     9.37E+02
1575.4       159.2       2.34E+04     9.72E+02
1594.6       159.2       2.40E+04     1.00E+03
1613.8       159.2       2.49E+04     1.04E+03
