#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
1633.0       159.2       2.57E+04     1.07E+03
1652.2       159.2       2.64E+04     1.10E+03
1671.4       159.2       2.69E+04     1.12E+03
1690.6       159.2       2.72E+04     1.13E+03
1709.9       159.2       2.74E+04     1.14E+03
1729.1       159.2       2.75E+04     1.14E+03
1748.3       159.2       2.76E+04     1.15E+03
1767.5       159.2       2.79E+04     1.16E+03
1786.7       159.2       2.84E+04     1.18E+03
1805.9       159.2       2.90E+04     1.21E+03
1825.1       159.2       2.99E+04     1.24E+03
1844.3       159.2       3.07E+04     1.28E+03
1863.6       159.2       3.18E+04     1.32E+03
1882.8       159.2       3.29E+04     1.37E+03
1902.0       159.2       3.40E+04     1.41E+03
1921.2       159.2       3.49E+04     1.45E+03
1940.4       159.2       3.57E+04     1.48E+03
1959.6       159.2       3.62E+04     1.51E+03
1978.8       159.2       3.66E+04     1.52E+03
1998.0       159.2       3.68E+04     1.53E+03
2017.2       159.2       3.71E+04     1.54E+03
2036.5       159.2       3.75E+04     1.56E+03
2055.7       159.2       3.81E+04     1.59E+03
2074.9       159.2       3.89E+04     1.62E+03
2094.1       159.2       3.99E+04     1.66E+03
2113.3       159.2       4.10E+04     1.71E+03
2132.5       159.2       4.24E+04     1.76E+03
2151.7       159.2       4.39E+04     1.82E+03
2170.9       159.2       4.53E+04     1.88E+03
2190.2       159.2       4.66E+04     1.94E+03
2209.4       159.2       4.77E+04     1.98E+03
2228.6       159.2       4.85E+04     2.02E+03
2247.8       159.2       4.92E+04     2.05E+03
2267.0       159.2       4.97E+04     2.07E+03
2286.2       159.2       5.01E+04     2.08E+03
2305.4       159.2       5.07E+04     2.11E+03
2324.6       159.2       5.16E+04     2.15E+03
2343.8       159.2       5.25E+04     2.18E+03
2363.1       159.2       5.37E+04     2.23E+03
2382.3       159.2       5.52E+04     2.30E+03
2401.5       159.2       5.69E+04     2.37E+03
2420.7       159.2       5.88E+04     2.45E+03
2439.9       159.2       6.07E+04     2.52E+03
2459.1       159.2       6.25E+04     2.60E+03
2478.3       159.2       6.40E+04     2.66E+03
2497.5       159.2       6.53E+04     2.72E+03
2516.8       159.2       6.63E+04     2.76E+03
2536.0       159.2       6.71E+04     2.79E+03
2555.2       159.2       6.78E+04     2.82E+03
2574.4       159.2       6.89E+04     2.87E+03
2593.6       159.2       6.98E+04     2.91E+03
2612.8       159.2       7.10E+04     2.95E+03
2632.0       159.2       7.25E+04     3.02E+03
2651.2       159.2       7.44E+04     3.10E+03
2670.4       159.2       7.66E+04     3.19E+03
2689.7       159.2       7.91E+04     3.29E+03
2708.9       159.2       8.16E+04     3.39E+03
2728.1       159.2       8.40E+04     3.49E+03
2747.3       159.2       8.62E+04     3.59E+03
2766.5       159.2       8.81E+04     3.66E+03
2785.7       159.2       8.96E+04     3.73E+03
2804.9       159.2       9.12E+04     3.79E+03
2824.1       159.2       9.23E+04     3.84E+03
2843.4       159.2       9.34E+04     3.89E+03
2862.6       159.2       9.47E+04     3.94E+03
2881.8       159.2       9.62E+04     4.00E+03
2901.0       159.2       9.82E+04     4.08E+03
2920.2       159.2       1.01E+05     4.18E+03
2939.4       159.2       1.03E+05     4.30E+03
2958.6       159.2       1.07E+05     4.43E+03
2977.8       159.2       1.10E+05     4.57E+03
2997.1       159.2       1.13E+05     4.71E+03
3016.3       159.2       1.16E+05     4.83E+03
3035.5       159.2       1.19E+05     4.94E+03
3054.7       159.2       1.21E+05     5.05E+03
3073.9       159.2       1.23E+05     5.13E+03
3093.1       159.2       1.25E+05     5.20E+03
3112.3       159.2       1.27E+05     5.27E+03
3131.5       159.2       1.28E+05     5.34E+03
3150.7       159.2       1.30E+05     5.43E+03
3170.0       159.2       1.33E+05     5.53E+03
3189.2       159.2       1.36E+05     5.66E+03
3208.4       159.2       1.40E+05     5.81E+03
3227.6       159.2       1.44E+05     5.98E+03
3246.8       159.2       1.48E+05     6.16E+03
3266.0       159.2       1.53E+05     6.35E+03
3285.2       159.2       1.57E+05     6.52E+03
3304.4       159.2       1.60E+05     6.67E+03
3323.7       159.2       1.64E+05     6.82E+03
3342.9       159.2       1.67E+05     6.94E+03
3362.1       159.2       1.70E+05     7.05E+03
3381.3       159.2       1.72E+05     7.15E+03
3400.5       159.2       1.74E+05     7.25E+03
3419.7       159.2       1.77E+05     7.36E+03
3438.9       159.2       1.80E+05     7.49E+03
3458.1       159.2       1.84E+05     7.66E+03
3477.3       159.2       1.89E+05     7.85E+03
3496.6       159.2       1.94E+05     8.07E+03
3515.8       159.2       2.00E+05     8.31E+03
3535.0       159.2       2.05E+05     8.53E+03
3554.2       159.2       2.11E+05     8.77E+03
3573.4       159.2       2.16E+05     9.00E+03
3592.6       159.2       2.21E+05     9.21E+03
3611.8       159.2       2.26E+05     9.39E+03
3631.0       159.2       2.29E+05     9.55E+03
3650.3       159.2       2.33E+05     9.69E+03
3669.5       159.2       2.36E+05     9.82E+03
3688.7       159.2       2.40E+05     9.97E+03
3707.9       159.2       2.44E+05     1.02E+04
3727.1       159.2       2.49E+05     1.04E+04
3746.3       159.2       2.55E+05     1.06E+04
3765.5       159.2       2.62E+05     1.09E+04
3784.7       159.2       2.69E+05     1.12E+04
3803.9       159.2       2.76E+05     1.15E+04
3823.2       159.2       2.84E+05     1.18E+04
3842.4       159.2       2.92E+05     1.21E+04
3861.6       159.2       2.99E+05     1.24E+04
3880.8       159.2       3.05E+05     1.27E+04
3900.0       159.2       3.10E+05     1.29E+04
3919.2       159.2       3.15E+05     1.31E+04
3938.4       159.2       3.20E+05     1.33E+04
3957.6       159.2       3.25E+05     1.35E+04
3976.9       159.2       3.30E+05     1.37E+04
3996.1       159.2       3.37E+05     1.40E+04
4015.3       159.2       3.45E+05     1.43E+04
4034.5       159.2       3.53E+05     1.47E+04
4053.7       159.2       3.62E+05     1.51E+04
4072.9       159.2       3.72E+05     1.55E+04
4092.1       159.2       3.83E+05     1.59E+04
4111.3       159.2       3.93E+05     1.64E+04
4130.6       159.2       4.03E+05     1.68E+04
4149.8       159.2       4.12E+05     1.71E+04
4169.0       159.2       4.19E+05     1.74E+04
4188.2       159.2       4.26E+05     1.77E+04
4207.4       159.2       4.33E+05     1.80E+04
4226.6       159.2       4.39E+05     1.83E+04
4245.8       159.2       4.47E+05     1.86E+04
4265.0       159.2       4.55E+05     1.89E+04
4284.2       159.2       4.65E+05     1.93E+04
4303.5       159.2       4.76E+05     1.98E+04
4322.7       159.2       4.88E+05     2.03E+04
4341.9       159.2       5.01E+05     2.09E+04
4361.1       159.2       5.15E+05     2.14E+04
4380.3       159.2       5.29E+05     2.20E+04
4399.5       159.2       5.43E+05     2.26E+04
4418.7       159.2       5.55E+05     2.31E+04
4437.9       159.2       5.66E+05     2.35E+04
4457.2       159.2       5.75E+05     2.39E+04
4476.4       159.2       5.84E+05     2.43E+04
4495.6       159.2       5.93E+05     2.47E+04
4514.8       159.2       6.04E+05     2.51E+04
4534.0       159.2       6.15E+05     2.56E+04
4553.2       159.2       6.27E+05     2.61E+04
4572.4       159.2       6.41E+05     2.67E+04
4591.6       159.2       6.57E+05     2.73E+04
4610.8       159.2       6.74E+05     2.80E+04
4630.1       159.2       6.93E+05     2.88E+04
4649.3       159.2       7.11E+05     2.96E+04
4668.5       159.2       7.29E+05     3.03E+04
4687.7       159.2       7.46E+05     3.10E+04
4706.9       159.2       7.61E+05     3.17E+04
4726.1       159.2       7.75E+05     3.22E+04
4745.3       159.2       7.87E+05     3.28E+04
4764.5       159.2       8.02E+05     3.34E+04
4783.8       159.2       8.14E+05     3.39E+04
4803.0       159.2       8.28E+05     3.44E+04
4822.2       159.2       8.44E+05     3.51E+04
4841.4       159.2       8.62E+05     3.59E+04
4860.6       159.2       8.82E+05     3.67E+04
4879.8       159.2       9.05E+05     3.77E+04
4899.0       159.2       9.29E+05     3.87E+04
4918.2       159.2       9.54E+05     3.97E+04
4937.4       159.2       9.79E+05     4.07E+04
4956.7       159.2       1.00E+06     4.17E+04
4975.9       159.2       1.02E+06     4.25E+04
4995.1       159.2       1.04E+06     4.33E+04
5014.3       159.2       1.06E+06     4.42E+04
5033.5       159.2       1.08E+06     4.49E+04
5052.7       159.2       1.10E+06     4.56E+04
5071.9       159.2       1.11E+06     4.63E+04
5091.1       159.2       1.13E+06     4.72E+04
5110.4       159.2       1.16E+06     4.81E+04
5129.6       159.2       1.18E+06     4.92E+04
5148.8       159.2       1.21E+06     5.05E+04
5168.0       159.2       1.24E+06     5.18E+04
5187.2       159.2       1.28E+06     5.31E+04
5206.4       159.2       1.31E+06     5.45E+04
5225.6       159.2       1.34E+06     5.58E+04
5244.8       159.2       1.37E+06     5.70E+04
5264.1       159.2       1.40E+06     5.82E+04
5283.3       159.2       1.42E+06     5.92E+04
5302.5       159.2       1.45E+06     6.02E+04
5321.7       159.2       1.47E+06     6.11E+04
5340.9       159.2       1.49E+06     6.21E+04
5360.1       159.2       1.52E+06     6.32E+04
5379.3       159.2       1.55E+06     6.44E+04
5398.5       159.2       1.58E+06     6.59E+04
5417.7       159.2       1.62E+06     6.74E+04
5437.0       159.2       1.66E+06     6.92E+04
5456.2       159.2       1.71E+06     7.09E+04
5475.4       159.2       1.75E+06     7.28E+04
5494.6       159.2       1.79E+06     7.44E+04
5513.8       159.2       1.83E+06     7.61E+04
5533.0       159.2       1.87E+06     7.77E+04
5552.2       159.2       1.90E+06     7.91E+04
5571.4       159.2       1.93E+06     8.05E+04
5590.7       159.2       1.97E+06     8.17E+04
5609.9       159.2       2.00E+06     8.31E+04
5629.1       159.2       2.03E+06     8.45E+04
5648.3       159.2       2.07E+06     8.60E+04
5667.5       159.2       2.11E+06     8.79E+04
5686.7       159.2       2.16E+06     8.99E+04
5705.9       159.2       2.21E+06     9.21E+04
5725.1       159.2       2.27E+06     9.44E+04
5744.3       159.2       2.32E+06     9.66E+04
5763.6       159.2       2.38E+06     9.90E+04
5782.8       159.2       2.43E+06     1.01E+05
5802.0       159.2       2.49E+06     1.03E+05
5821.2       159.2       2.53E+06     1.05E+05
5840.4       159.2       2.58E+06     1.07E+05
5859.6       159.2       2.62E+06     1.09E+05
5878.8       159.2       2.66E+06     1.11E+05
5898.0       159.2       2.70E+06     1.12E+05
5917.3       159.2       2.75E+06     1.14E+05
5936.5       159.2       2.81E+06     1.17E+05
5955.7       159.2       2.87E+06     1.19E+05
5974.9       159.2       2.93E+06     1.22E+05
5994.1       159.2       3.00E+06     1.25E+05
